,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
16533,158,158,GO:0010506,GO:0016563,1.6205236972478352
16534,13242,13242,GO:0036333,GO:0004971,1.6202478599095145
16535,2364,2364,GO:0008292,GO:0006595,1.619766385776238
16536,2249,2249,GO:0019227,GO:2000479,1.6194822438197245
16537,5763,5763,GO:0032313,GO:0010506,1.6184782706587981
16538,9515,9515,GO:0009628,GO:0010506,1.6180639762536313
16539,378,378,GO:0072378,GO:0004971,1.616681579364982
16540,16154,16154,GO:0002456,GO:0032869,1.61623056826621
16541,13544,13544,GO:2000772,GO:0051098,1.6156534375298073
16542,11874,11874,GO:0048167,GO:0038029,1.6154362779749776
16543,12547,12547,GO:0045087,GO:0007259,1.6154143032368011
16544,10051,10051,GO:0030193,GO:0010506,1.6150750310522697
16545,16653,16653,GO:0007571,GO:0010628,1.6149639833850358
16546,1341,1341,GO:0051098,GO:0010506,1.6148112703682995
16547,3223,3223,GO:0016563,GO:0008588,1.6144512865875096
16548,16908,16908,GO:0034079,GO:0016563,1.6140620410185629
16549,17833,17833,GO:0042987,GO:0004915,1.6139961673488583
16550,381,381,GO:0072378,GO:0061684,1.6139733857125165
16551,14759,14759,GO:0004971,GO:0019722,1.6139587413912937
16552,13401,13401,GO:0019058,GO:0010506,1.6136827698971914
16553,10814,10814,GO:0019222,GO:0010468,1.6134905368109702
16554,14707,14707,GO:0008203,GO:2000772,1.6133293541191094
16555,1466,1466,GO:0051098,GO:0034079,1.6128598253598252
16556,13237,13237,GO:0036333,GO:2000479,1.6125652278802096
16557,16503,16503,GO:0035559,GO:1900271,1.6125340646625477
16558,12421,12421,GO:0016236,GO:0045087,1.6125300218706813
16559,245,245,GO:0010506,GO:0043491,1.6119179361843743
16560,7605,7605,GO:0007623,GO:2000772,1.6114597701864255
16561,10785,10785,GO:0019222,GO:0008286,1.6113667749419534
16562,7904,7904,GO:0006091,GO:1901576,1.6111257224997153
16563,12050,12050,GO:0006935,GO:0007571,1.610042921312944
16564,14181,14181,GO:2000479,GO:0043491,1.6097959157265032
16565,7444,7444,GO:0033355,GO:0032869,1.6096745970216493
16566,12380,12380,GO:0016236,GO:1900407,1.6095951150298984
16567,1574,1574,GO:0004915,GO:0019058,1.6092272937474177
16568,2656,2656,GO:0019722,GO:0004971,1.6091413173456517
16569,16744,16744,GO:0007571,GO:0002376,1.6088307568159976
16570,15243,15243,GO:0061684,GO:2000772,1.6085142171931726
16571,10693,10693,GO:0005249,GO:0000114,1.6068766687961733
